ImageName,Car,Bus,Other,Bridge,Bicycle,Palm,Stair,Motorcycle,Chimney,Crosswalk,Hydrant,Traffic Light
03050.png,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0002,0.0001,0.0001,0.9988,0.0001
03051.png,0.0009,0.9958,0.0007,0.0003,0.0005,0.0002,0.0003,0.0003,0.0003,0.0003,0.0002,0.0002
03052.png,0.001,0.0009,0.0092,0.0013,0.0006,0.9815,0.0006,0.0008,0.001,0.0011,0.0009,0.0011
03053.png,0.9826,0.002,0.0009,0.0015,0.0021,0.0017,0.0011,0.0027,0.0007,0.0033,0.0006,0.001
03054.png,0.0436,0.0072,0.5664,0.023,0.0309,0.0364,0.1941,0.0165,0.0614,0.0076,0.0061,0.0069
03055.png,0.0006,0.0002,0.0003,0.0004,0.0002,0.0018,0.0003,0.0003,0.0003,0.0006,0.0002,0.9946
03056.png,0.0007,0.9971,0.0003,0.0002,0.0003,0.0002,0.0002,0.0002,0.0002,0.0002,0.0001,0.0003
03057.png,0.0005,0.0002,0.0004,0.0003,0.9966,0.0002,0.0003,0.0004,0.0003,0.0003,0.0002,0.0003
03058.png,0.0003,0.0002,0.0003,0.0003,0.9971,0.0002,0.0003,0.0003,0.0003,0.0003,0.0002,0.0002
03059.png,0.9919,0.0009,0.0004,0.0012,0.0007,0.0006,0.0005,0.0008,0.0004,0.0008,0.0004,0.0013
03060.png,0.5221,0.0164,0.1358,0.0257,0.0212,0.2053,0.0099,0.0096,0.0082,0.0259,0.0153,0.0045
03061.png,0.0001,0.0002,0.0,0.0001,0.0002,0.0001,0.0001,0.0002,0.0001,0.0001,0.9986,0.0001
03062.png,0.0002,0.0004,0.0003,0.0003,0.0003,0.0002,0.0003,0.0003,0.0002,0.9971,0.0002,0.0002
03063.png,0.0013,0.0015,0.001,0.0015,0.0022,0.0042,0.0027,0.0031,0.9783,0.0008,0.0025,0.001
03064.png,0.8156,0.0078,0.002,0.0052,0.0222,0.0037,0.0062,0.1235,0.0025,0.0044,0.003,0.0037
03065.png,0.0008,0.997,0.0002,0.0003,0.0003,0.0003,0.0002,0.0002,0.0003,0.0002,0.0001,0.0002
03066.png,0.0679,0.0039,0.7956,0.0111,0.0022,0.0077,0.0027,0.0026,0.0061,0.023,0.0018,0.0753
03067.png,0.0151,0.0047,0.5977,0.3327,0.0071,0.0047,0.0043,0.0045,0.0097,0.0073,0.0036,0.0087
03068.png,0.0007,0.9975,0.0002,0.0002,0.0004,0.0002,0.0002,0.0002,0.0001,0.0002,0.0001,0.0001
03069.png,0.0017,0.0004,0.0028,0.0006,0.0003,0.0006,0.0003,0.0004,0.0004,0.0005,0.0002,0.992
03070.png,0.0008,0.0004,0.0008,0.001,0.0005,0.0011,0.9912,0.001,0.0014,0.0005,0.0005,0.0009
03071.png,0.0321,0.001,0.0029,0.9543,0.0016,0.0008,0.0012,0.0009,0.0011,0.0019,0.0008,0.0014
03072.png,0.7453,0.0016,0.0151,0.0015,0.0018,0.2252,0.0015,0.0014,0.0023,0.0015,0.0014,0.0015
03073.png,0.0019,0.9907,0.0007,0.0005,0.0014,0.0022,0.0004,0.0004,0.0004,0.0009,0.0002,0.0003
03074.png,0.988,0.0021,0.0013,0.002,0.0011,0.0007,0.0009,0.001,0.0006,0.0007,0.0008,0.0009
03075.png,0.0007,0.0004,0.0017,0.9922,0.0004,0.0006,0.0007,0.0004,0.0013,0.0004,0.0005,0.0006
03076.png,0.0004,0.998,0.0002,0.0002,0.0003,0.0002,0.0001,0.0001,0.0001,0.0002,0.0001,0.0002
03077.png,0.9901,0.0011,0.0009,0.0015,0.0009,0.0011,0.0007,0.0009,0.0005,0.0008,0.0005,0.001
03078.png,0.7333,0.0026,0.0288,0.0041,0.0037,0.0355,0.0045,0.003,0.0032,0.0046,0.0016,0.175
03079.png,0.0004,0.0006,0.0002,0.0002,0.0002,0.0003,0.0002,0.0002,0.0002,0.9972,0.0002,0.0002
03080.png,0.0003,0.0003,0.0003,0.0002,0.9972,0.0002,0.0002,0.0003,0.0003,0.0003,0.0002,0.0002
03081.png,0.002,0.0009,0.0069,0.0022,0.001,0.9785,0.0013,0.0013,0.0024,0.0013,0.0009,0.0014
03082.png,0.0001,0.0002,0.0001,0.0001,0.0003,0.0001,0.0001,0.0002,0.0002,0.0001,0.9985,0.0001
03083.png,0.7877,0.0055,0.0058,0.006,0.0074,0.0063,0.153,0.007,0.0102,0.0045,0.0023,0.0042
03084.png,0.002,0.0007,0.0033,0.9892,0.0005,0.0004,0.0007,0.0005,0.0008,0.0007,0.0005,0.0006
03085.png,0.9814,0.006,0.0009,0.001,0.0058,0.0004,0.0008,0.001,0.0004,0.0014,0.0003,0.0006
03086.png,0.0032,0.0029,0.9358,0.0128,0.0038,0.0055,0.0023,0.0037,0.0073,0.0093,0.0083,0.0053
03087.png,0.0005,0.0004,0.0014,0.0004,0.0004,0.9936,0.0005,0.0005,0.0008,0.0003,0.0003,0.0007
03088.png,0.0041,0.001,0.0006,0.0005,0.0005,0.0004,0.0004,0.0006,0.0005,0.9902,0.0003,0.0009
03089.png,0.9778,0.0032,0.0014,0.0032,0.0024,0.0011,0.0019,0.0018,0.0007,0.0047,0.0009,0.001
03090.png,0.0002,0.9981,0.0002,0.0002,0.0002,0.0002,0.0001,0.0001,0.0002,0.0002,0.0001,0.0001
03091.png,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.9989,0.0001
03092.png,0.984,0.0033,0.0008,0.0018,0.0016,0.0025,0.001,0.0019,0.0006,0.0013,0.0006,0.0007
03093.png,0.9653,0.0063,0.0036,0.0038,0.0055,0.003,0.0023,0.0031,0.0015,0.0022,0.0015,0.002
03094.png,0.9932,0.0002,0.001,0.001,0.0007,0.0017,0.0003,0.0004,0.0003,0.0004,0.0003,0.0004
03095.png,0.0051,0.0005,0.0011,0.0011,0.0007,0.0007,0.0007,0.0009,0.0007,0.0021,0.0003,0.9861
03096.png,0.9889,0.0005,0.0013,0.0012,0.0006,0.0013,0.0005,0.0006,0.0005,0.0012,0.0005,0.003
03097.png,0.0002,0.0004,0.0002,0.0002,0.0002,0.0002,0.0003,0.0002,0.0002,0.9975,0.0002,0.0002
03098.png,0.9921,0.0006,0.0007,0.0012,0.0007,0.0007,0.0005,0.0006,0.0004,0.0005,0.0006,0.0014
03099.png,0.051,0.0179,0.6406,0.0218,0.0125,0.1092,0.0141,0.0196,0.0337,0.0314,0.035,0.0133
03100.png,0.0001,0.0002,0.0001,0.0001,0.0002,0.0001,0.0001,0.0002,0.0001,0.0002,0.9986,0.0001
03101.png,0.9633,0.0018,0.006,0.0063,0.0058,0.0049,0.0019,0.0034,0.001,0.0034,0.0007,0.0013
03102.png,0.0017,0.0012,0.9755,0.0044,0.0014,0.005,0.0012,0.0012,0.0041,0.0024,0.0009,0.0011
03103.png,0.0026,0.0008,0.0005,0.0005,0.0003,0.0003,0.0003,0.0003,0.0003,0.9934,0.0003,0.0003
03104.png,0.0005,0.0012,0.001,0.0005,0.0003,0.0004,0.0004,0.0003,0.0004,0.9946,0.0002,0.0005
03105.png,0.9864,0.0005,0.0006,0.0005,0.0005,0.0015,0.0003,0.0005,0.0003,0.0005,0.0003,0.0082
03106.png,0.0003,0.0003,0.0003,0.0003,0.9958,0.0003,0.0003,0.0005,0.0003,0.0012,0.0002,0.0002
03107.png,0.0013,0.0006,0.0061,0.0014,0.001,0.0014,0.9808,0.0014,0.0035,0.0008,0.0005,0.0011
03108.png,0.9866,0.0005,0.0003,0.0008,0.0006,0.0007,0.0003,0.0006,0.0003,0.0009,0.0003,0.0082
03109.png,0.3605,0.6206,0.0018,0.0035,0.0019,0.0012,0.0019,0.002,0.0009,0.0019,0.001,0.0029
03110.png,0.0006,0.0003,0.0004,0.0005,0.0004,0.9954,0.0004,0.0004,0.0005,0.0004,0.0003,0.0004
03111.png,0.0009,0.0004,0.0006,0.0006,0.0004,0.994,0.0005,0.0005,0.0005,0.0005,0.0004,0.0007
03112.png,0.9899,0.0007,0.0006,0.0012,0.0005,0.0007,0.0006,0.0007,0.0003,0.0024,0.0004,0.0019
03113.png,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.9989,0.0001
03114.png,0.0005,0.9976,0.0003,0.0002,0.0003,0.0002,0.0002,0.0002,0.0002,0.0002,0.0001,0.0002
03115.png,0.0006,0.0004,0.0008,0.0005,0.0004,0.9945,0.0004,0.0004,0.0006,0.0006,0.0004,0.0004
03116.png,0.9888,0.0004,0.001,0.0013,0.0005,0.0009,0.0004,0.0003,0.0005,0.0014,0.0003,0.0041
03117.png,0.0002,0.0006,0.0004,0.0004,0.0002,0.0003,0.0003,0.0002,0.0003,0.9968,0.0002,0.0003
03118.png,0.9913,0.0013,0.0006,0.0011,0.0008,0.0009,0.0007,0.001,0.0005,0.0007,0.0005,0.0006
03119.png,0.9372,0.0023,0.0024,0.0029,0.0019,0.0451,0.0017,0.0018,0.0013,0.0018,0.0007,0.001
03120.png,0.0007,0.0003,0.0013,0.9931,0.0005,0.0004,0.0007,0.0005,0.0009,0.0004,0.0007,0.0004
03121.png,0.0001,0.0001,0.0001,0.0001,0.0002,0.0001,0.0001,0.0001,0.0001,0.0001,0.9988,0.0001
03122.png,0.0001,0.0001,0.0001,0.0001,0.0002,0.0002,0.0001,0.0002,0.0002,0.0001,0.9984,0.0001
03123.png,0.9924,0.0015,0.0006,0.0009,0.0006,0.0007,0.0006,0.0006,0.0004,0.0007,0.0004,0.0007
03124.png,0.0014,0.0008,0.9834,0.0027,0.0009,0.0019,0.0009,0.0007,0.0017,0.0016,0.0013,0.0027
03125.png,0.0001,0.0001,0.0001,0.0001,0.0002,0.0001,0.0001,0.0002,0.0001,0.0002,0.9987,0.0001
03126.png,0.0001,0.0002,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.9987,0.0001
03127.png,0.0004,0.9978,0.0002,0.0001,0.0003,0.0002,0.0001,0.0002,0.0002,0.0002,0.0001,0.0002
03128.png,0.9944,0.0003,0.0004,0.0006,0.0006,0.001,0.0004,0.0006,0.0003,0.0004,0.0003,0.0008
03129.png,0.0001,0.0001,0.0,0.0001,0.0002,0.0001,0.0001,0.0001,0.0001,0.0001,0.9988,0.0001
03130.png,0.0005,0.9977,0.0002,0.0001,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0001
03131.png,0.9909,0.0005,0.0015,0.001,0.0011,0.0009,0.0008,0.0007,0.0005,0.0009,0.0005,0.0008
03132.png,0.0004,0.0003,0.0002,0.0002,0.9968,0.0003,0.0003,0.0005,0.0003,0.0003,0.0002,0.0002
03133.png,0.9657,0.0009,0.0004,0.0008,0.0008,0.0009,0.0006,0.0012,0.0004,0.0258,0.0003,0.002
03134.png,0.0007,0.0003,0.0003,0.0003,0.9964,0.0002,0.0003,0.0005,0.0003,0.0003,0.0002,0.0002
03135.png,0.0003,0.998,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0001,0.0002,0.0001,0.0001
03136.png,0.0004,0.0002,0.0003,0.0004,0.0002,0.0004,0.0003,0.0004,0.0003,0.0003,0.0002,0.9966
03137.png,0.0006,0.001,0.001,0.0014,0.0013,0.0009,0.0018,0.0015,0.9879,0.0006,0.001,0.001
03138.png,0.0004,0.9978,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0001,0.0002
03139.png,0.003,0.0005,0.001,0.0008,0.0006,0.0014,0.0007,0.0008,0.0006,0.001,0.0006,0.9892
03140.png,0.0003,0.0007,0.0005,0.0003,0.0003,0.0004,0.0004,0.0002,0.0003,0.9963,0.0002,0.0002
03141.png,0.0005,0.0004,0.0008,0.0003,0.9956,0.0003,0.0004,0.0004,0.0004,0.0003,0.0002,0.0003
03142.png,0.0001,0.0002,0.0001,0.0001,0.0002,0.0001,0.0001,0.0002,0.0002,0.0001,0.9987,0.0001
03143.png,0.992,0.0006,0.0005,0.001,0.001,0.0012,0.0005,0.0009,0.0004,0.0006,0.0005,0.0008
03144.png,0.0001,0.0002,0.0001,0.0001,0.0002,0.0001,0.0001,0.0002,0.0002,0.0001,0.9986,0.0001
03145.png,0.9865,0.0034,0.0009,0.0016,0.001,0.0012,0.0008,0.001,0.0007,0.0012,0.0006,0.0011
03146.png,0.9919,0.0007,0.0009,0.0015,0.0008,0.0013,0.0005,0.0006,0.0004,0.0006,0.0004,0.0004
03147.png,0.2019,0.02,0.2958,0.0521,0.0376,0.256,0.0147,0.0166,0.0096,0.0587,0.027,0.0099
03148.png,0.0002,0.0004,0.0002,0.0002,0.0001,0.0002,0.0003,0.0002,0.0002,0.9975,0.0002,0.0002
03149.png,0.0005,0.0005,0.0063,0.986,0.0006,0.0015,0.001,0.0006,0.0012,0.0008,0.0005,0.0006
03150.png,0.0003,0.9978,0.0002,0.0002,0.0004,0.0003,0.0002,0.0001,0.0002,0.0001,0.0001,0.0001
03151.png,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.9988,0.0001
03152.png,0.0003,0.0009,0.0003,0.0004,0.0002,0.0002,0.0003,0.0002,0.0003,0.9965,0.0002,0.0004
03153.png,0.9775,0.0015,0.002,0.0031,0.0029,0.0026,0.0017,0.0029,0.0016,0.0013,0.0013,0.0017
03154.png,0.0006,0.0003,0.0005,0.0004,0.0003,0.0006,0.0003,0.0004,0.0004,0.0002,0.0002,0.9957
03155.png,0.9853,0.0005,0.0004,0.0011,0.0006,0.0021,0.0006,0.0008,0.0003,0.0033,0.0003,0.0049
03156.png,0.0059,0.0004,0.0004,0.9883,0.0005,0.0008,0.0007,0.0007,0.0005,0.0007,0.0004,0.0007
03157.png,0.0001,0.0002,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0002,0.0001,0.9987,0.0001
03158.png,0.0007,0.9969,0.0004,0.0002,0.0003,0.0003,0.0003,0.0002,0.0002,0.0002,0.0001,0.0002
03159.png,0.0005,0.9919,0.0012,0.0006,0.0029,0.0006,0.0005,0.0004,0.0005,0.0004,0.0003,0.0004
03160.png,0.0001,0.0001,0.0001,0.0001,0.0002,0.0001,0.0001,0.0002,0.0001,0.0001,0.9988,0.0001
03161.png,0.3347,0.0021,0.0011,0.0036,0.0015,0.0044,0.0022,0.0023,0.0015,0.0139,0.0012,0.6314
03162.png,0.0004,0.9977,0.0003,0.0002,0.0002,0.0002,0.0002,0.0001,0.0002,0.0002,0.0001,0.0002
03163.png,0.0001,0.0002,0.0001,0.0001,0.0002,0.0002,0.0001,0.0002,0.0001,0.0001,0.9986,0.0001
03164.png,0.0009,0.0003,0.0005,0.0003,0.0003,0.9953,0.0004,0.0004,0.0004,0.0004,0.0003,0.0005
03165.png,0.001,0.0006,0.0004,0.0003,0.0003,0.0004,0.0003,0.0003,0.0002,0.9958,0.0002,0.0003
03166.png,0.0007,0.0002,0.0003,0.0004,0.0002,0.0005,0.0003,0.0003,0.0003,0.0004,0.0002,0.9962
03167.png,0.0002,0.0004,0.0003,0.0003,0.0002,0.0002,0.0003,0.0002,0.0003,0.9972,0.0002,0.0003
03168.png,0.0137,0.0028,0.3795,0.0061,0.0038,0.5326,0.0057,0.0049,0.0261,0.0022,0.0056,0.0171
03169.png,0.0006,0.0004,0.001,0.0006,0.0004,0.9927,0.0007,0.0006,0.0008,0.0006,0.0006,0.001
03170.png,0.001,0.0006,0.0007,0.0005,0.0003,0.0004,0.0004,0.0003,0.0005,0.0002,0.0002,0.995
03171.png,0.9861,0.0008,0.0026,0.0017,0.0019,0.0025,0.0008,0.0008,0.0005,0.001,0.0007,0.0006
03172.png,0.9865,0.0013,0.0009,0.0015,0.0014,0.0037,0.0006,0.0008,0.0006,0.001,0.0005,0.0012
03173.png,0.9871,0.0012,0.0009,0.0015,0.0012,0.0024,0.0009,0.0013,0.0006,0.0016,0.0006,0.0007
03174.png,0.9962,0.0004,0.0004,0.0005,0.0004,0.0005,0.0002,0.0003,0.0002,0.0003,0.0003,0.0004
03175.png,0.0002,0.9979,0.0003,0.0002,0.0002,0.0002,0.0002,0.0001,0.0002,0.0002,0.0001,0.0002
03176.png,0.0003,0.0002,0.0003,0.0003,0.9972,0.0002,0.0002,0.0003,0.0003,0.0002,0.0002,0.0002
03177.png,0.9808,0.001,0.001,0.0023,0.0008,0.0011,0.0008,0.0009,0.0006,0.0013,0.0005,0.0089
03178.png,0.0003,0.0004,0.0004,0.0006,0.0002,0.0004,0.0005,0.0004,0.0003,0.9957,0.0002,0.0006
03179.png,0.9363,0.0017,0.0188,0.0192,0.0037,0.0025,0.0036,0.0029,0.0043,0.0022,0.0018,0.003
03180.png,0.001,0.0002,0.0009,0.0006,0.0003,0.0005,0.0003,0.0003,0.0003,0.0004,0.0002,0.995
03181.png,0.9944,0.0008,0.0005,0.0007,0.0004,0.0008,0.0004,0.0004,0.0002,0.0006,0.0002,0.0006
03182.png,0.0002,0.0007,0.0003,0.0003,0.0002,0.0002,0.0002,0.0002,0.0003,0.997,0.0002,0.0002
03183.png,0.0008,0.9963,0.0006,0.0003,0.0005,0.0004,0.0002,0.0002,0.0002,0.0003,0.0001,0.0002
03184.png,0.0026,0.0003,0.0005,0.9928,0.0004,0.0004,0.0005,0.0004,0.0005,0.0006,0.0003,0.0005
03185.png,0.0033,0.0005,0.0004,0.9914,0.0006,0.0005,0.0008,0.0006,0.0006,0.0005,0.0004,0.0004
03186.png,0.9911,0.003,0.0004,0.0007,0.0008,0.0005,0.0004,0.0006,0.0003,0.0007,0.0004,0.0011
03187.png,0.0003,0.0006,0.0003,0.0002,0.0002,0.0003,0.0002,0.0003,0.0003,0.997,0.0002,0.0002
03188.png,0.0004,0.0003,0.0009,0.0004,0.9956,0.0004,0.0003,0.0003,0.0004,0.0003,0.0004,0.0003
03189.png,0.9363,0.0533,0.0008,0.0013,0.0018,0.0008,0.001,0.0013,0.0007,0.0011,0.0006,0.0009
03190.png,0.9878,0.0004,0.0012,0.0031,0.0009,0.0021,0.0007,0.0007,0.0006,0.0011,0.0004,0.001
03191.png,0.9829,0.0016,0.0029,0.0031,0.0016,0.0015,0.001,0.0015,0.0011,0.0012,0.0008,0.0008
03192.png,0.0142,0.003,0.0032,0.0043,0.0054,0.0059,0.0068,0.9424,0.0058,0.0031,0.0026,0.0034
03193.png,0.0001,0.0001,0.0001,0.0001,0.0002,0.0001,0.0001,0.0002,0.0001,0.0001,0.9988,0.0001
03194.png,0.0004,0.0002,0.0004,0.0002,0.0002,0.9969,0.0003,0.0003,0.0003,0.0003,0.0002,0.0004
03195.png,0.0007,0.0003,0.0004,0.0004,0.9961,0.0002,0.0004,0.0003,0.0004,0.0003,0.0003,0.0002
03196.png,0.9902,0.0009,0.0008,0.0014,0.0009,0.0012,0.0006,0.0011,0.0005,0.0011,0.0005,0.0008
03197.png,0.0074,0.0034,0.2844,0.6563,0.0059,0.0098,0.0059,0.0033,0.0166,0.0037,0.0016,0.0016
03198.png,0.0003,0.0004,0.0003,0.0004,0.0002,0.0002,0.0003,0.0002,0.0002,0.9973,0.0002,0.0002
03199.png,0.0004,0.0005,0.0006,0.0008,0.0006,0.0007,0.9918,0.0011,0.0013,0.0006,0.0005,0.001
03200.png,0.001,0.0009,0.0007,0.0008,0.0009,0.9888,0.0017,0.001,0.0018,0.0009,0.0006,0.001
03201.png,0.0003,0.0002,0.001,0.0004,0.0003,0.0005,0.0004,0.0003,0.0006,0.0004,0.0004,0.9951
03202.png,0.001,0.0019,0.0178,0.0016,0.0025,0.0014,0.0023,0.0032,0.0061,0.0019,0.9578,0.0023
03203.png,0.7931,0.0032,0.0147,0.1709,0.0042,0.002,0.003,0.0021,0.0024,0.0014,0.0017,0.0014
03204.png,0.4217,0.0179,0.0381,0.3107,0.027,0.0456,0.0218,0.0269,0.0422,0.0178,0.0185,0.0116
03205.png,0.9717,0.0005,0.0007,0.0013,0.0009,0.0011,0.0005,0.0009,0.0005,0.0007,0.0005,0.0207
03206.png,0.0038,0.0029,0.9527,0.0047,0.0044,0.0027,0.0022,0.0021,0.0109,0.0065,0.0031,0.0041
03207.png,0.9839,0.0022,0.0011,0.0022,0.0015,0.0022,0.0011,0.0015,0.0008,0.0015,0.0008,0.0013
03208.png,0.7508,0.0044,0.0104,0.2113,0.0032,0.0021,0.0024,0.0021,0.0043,0.0042,0.0007,0.004
03209.png,0.9847,0.001,0.0035,0.002,0.0007,0.0004,0.0005,0.0005,0.0006,0.0014,0.0005,0.0041
03210.png,0.745,0.0039,0.1047,0.0151,0.0154,0.067,0.0098,0.0118,0.0087,0.0058,0.0059,0.0068
03211.png,0.9795,0.0019,0.0017,0.0036,0.004,0.0019,0.0015,0.0019,0.0009,0.0014,0.001,0.0007
03212.png,0.0025,0.0105,0.7593,0.0102,0.0095,0.0107,0.0064,0.0052,0.0938,0.0055,0.0548,0.0316
03213.png,0.0002,0.0006,0.0004,0.0003,0.0002,0.0002,0.0003,0.0002,0.0002,0.9971,0.0002,0.0002
03214.png,0.9885,0.0004,0.0004,0.0008,0.0005,0.0008,0.0004,0.0007,0.0003,0.0039,0.0003,0.0031
